;SIZEGRP,BE_PCT_HH1,BE_PCT_HH2,BE_PCT_HH3,BE_PCT_HH4,BE_PCT_HH5,BE_PCT_HH6,BE_SUM_PCT,IR_PCT_HH1,IR_PCT_HH2,IR_PCT_HH3,IR_PCT_HH4,IR_PCT_HH5,IR_PCT_HH6,IR_SUM_PCT,TO_PCT_HH1,TO_PCT_HH2,TO_PCT_HH3,TO_PCT_HH4,TO_PCT_HH5,TO_PCT_HH6,TO_SUM_PCT,SW_PCT_HH1,SW_PCT_HH2,SW_PCT_HH3,SW_PCT_HH4,SW_PCT_HH5,SW_PCT_HH6,SW_SUM_PCT,UD_PCT_HH1,UD_PCT_HH2,UD_PCT_HH3,UD_PCT_HH4,UD_PCT_HH5,UD_PCT_HH6,UD_SUM_PCT,WE_PCT_HH1,WE_PCT_HH2,WE_PCT_HH3,WE_PCT_HH4,WE_PCT_HH5,WE_PCT_HH6,WE_SUM_PCT,DA_PCT_HH1,DA_PCT_HH2,DA_PCT_HH3,DA_PCT_HH4,DA_PCT_HH5,DA_PCT_HH6,DA_SUM_PCT,SL_PCT_HH1,SL_PCT_HH2,SL_PCT_HH3,SL_PCT_HH4,SL_PCT_HH5,SL_PCT_HH6,SL_SUM_PCT,UT_PCT_HH1,UT_PCT_HH2,UT_PCT_HH3,UT_PCT_HH4,UT_PCT_HH5,UT_PCT_HH6,UT_SUM_PCT,CA_PCT_HH1,CA_PCT_HH2,CA_PCT_HH3,CA_PCT_HH4,CA_PCT_HH5,CA_PCT_HH6,CA_SUM_PCT,DX_PCT_HH1,DX_PCT_HH2,DX_PCT_HH3,DX_PCT_HH4,DX_PCT_HH5,DX_PCT_HH6,DX_SUM_PCT
2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2.2,0,0.9232,0.0768,0,0,0,1,0,0.907,0.093,0,0,0,1,0,0.8617,0.1383,0,0,0,1,0,0.8901,0.1099,0,0,0,1,0,0.8852,0.1148,0,0,0,1,0,0.8875,0.1125,0,0,0,1,0,0.9113,0.0887,0,0,0,1,0,0.8711,0.1289,0,0,0,1,0,0.8943,0.1057,0,0,0,1,0,0.8951,0.1049,0,0,0,1,0,0.8951,0.1049,0,0,0,1
2.4,0,0.8273,0.1628,0.0099,0,0,1,0,0.7963,0.1935,0.0102,0,0,1,0,0.7135,0.2715,0.015,0,0,1,0,0.7629,0.2231,0.014,0,0,1,0,0.7569,0.2326,0.0105,0,0,1,0,0.7594,0.2281,0.0125,0,0,1,0,0.804,0.1853,0.0107,0,0,1,0,0.7305,0.2562,0.0133,0,0,1,0,0.7738,0.2166,0.0096,0,0,1,0,0.7753,0.2149,0.0098,0,0,1,0,0.7753,0.2149,0.0098,0,0,1
2.6,0,0.7262,0.2464,0.0274,0,0,1,0,0.6856,0.287,0.0274,0,0,1,0,0.5807,0.3809,0.0384,0,0,1,0,0.6403,0.3228,0.0369,0,0,1,0,0.6353,0.3367,0.028,0,0,1,0,0.6371,0.3298,0.0331,0,0,1,0,0.6949,0.276,0.0291,0,0,1,0,0.6019,0.3638,0.0343,0,0,1,0,0.6573,0.3172,0.0255,0,0,1,0,0.6587,0.3149,0.0264,0,0,1,0,0.6587,0.3149,0.0264,0,0,1
2.8,0,0.6223,0.3037,0.0567,0.0173,0,1,0,0.5809,0.3502,0.0566,0.0123,0,1,0,0.4673,0.4409,0.0748,0.017,0,1,0,0.5282,0.383,0.0737,0.0151,0,1,0,0.5279,0.4027,0.0565,0.0129,0,1,0,0.5259,0.3918,0.0663,0.016,0,1,0,0.5873,0.3357,0.0598,0.0172,0,1,0,0.4915,0.4278,0.0683,0.0124,0,1,0,0.5524,0.3838,0.0521,0.0117,0,1,0,0.5542,0.3813,0.0537,0.0108,0,1,0,0.5542,0.3813,0.0537,0.0108,0,1
3,0,0.514,0.3343,0.1056,0.0461,0,1,0,0.4783,0.3842,0.1048,0.0327,0,1,0,0.3656,0.4599,0.1318,0.0427,0,1,0,0.4214,0.4073,0.1326,0.0387,0,1,0,0.4282,0.4351,0.1031,0.0336,0,1,0,0.421,0.418,0.1198,0.0412,0,1,0,0.4794,0.3655,0.1099,0.0452,0,1,0,0.3915,0.454,0.1225,0.032,0,1,0,0.4535,0.4197,0.0962,0.0306,0,1,0,0.4547,0.417,0.0996,0.0287,0,1,0,0.4547,0.417,0.0996,0.0287,0,1
3.2,0,0.4275,0.3403,0.1605,0.0717,0,1,0,0.3982,0.3914,0.1595,0.0509,0,1,0,0.2925,0.4504,0.193,0.0641,0,1,0,0.3413,0.4037,0.1965,0.0585,0,1,0,0.3531,0.4394,0.1557,0.0518,0,1,0,0.3426,0.4164,0.1783,0.0627,0,1,0,0.3958,0.369,0.1656,0.0696,0,1,0,0.3178,0.4515,0.182,0.0487,0,1,0,0.3776,0.428,0.1467,0.0477,0,1,0,0.379,0.425,0.1515,0.0445,0,1,0,0.379,0.425,0.1515,0.0445,0,1
3.4,0,0.3368,0.3274,0.2153,0.1022,0.0183,1,0,0.3174,0.3805,0.2161,0.0734,0.0126,1,0,0.2247,0.4227,0.2525,0.0891,0.011,1,0,0.2651,0.3829,0.2597,0.0825,0.0098,1,0,0.2803,0.4262,0.2106,0.0744,0.0085,1,0,0.2668,0.396,0.2363,0.0884,0.0125,1,0,0.3103,0.3529,0.2209,0.0988,0.0171,1,0,0.2488,0.4313,0.2422,0.069,0.0087,1,0,0.3024,0.4181,0.1998,0.069,0.0107,1,0,0.3044,0.4166,0.207,0.0647,0.0073,1,0,0.3044,0.4166,0.207,0.0647,0.0073,1
3.6,0,0.2692,0.2988,0.2465,0.1324,0.0531,1,0,0.2588,0.3544,0.2526,0.0968,0.0374,1,0,0.1796,0.3852,0.2885,0.1151,0.0316,1,0,0.2132,0.3516,0.2991,0.1074,0.0287,1,0,0.23,0.3988,0.2472,0.0989,0.0251,1,0,0.2144,0.3629,0.2715,0.115,0.0362,1,0,0.248,0.3219,0.2525,0.1277,0.0499,1,0,0.2024,0.3999,0.2817,0.0906,0.0254,1,0,0.2487,0.3925,0.2352,0.0918,0.0318,1,0,0.2519,0.3938,0.2454,0.087,0.0219,1,0,0.2519,0.3938,0.2454,0.087,0.0219,1
3.8,0,0.2099,0.2634,0.2664,0.1553,0.105,1,0,0.2072,0.3203,0.2799,0.1167,0.0759,1,0,0.1417,0.3432,0.3153,0.1367,0.0631,1,0,0.1694,0.3155,0.3291,0.1283,0.0577,1,0,0.1864,0.3647,0.2771,0.1202,0.0516,1,0,0.1694,0.324,0.2973,0.1367,0.0726,1,0,0.1936,0.2841,0.2734,0.1501,0.0988,1,0,0.1624,0.3629,0.3134,0.1094,0.0519,1,0,0.2012,0.3585,0.2634,0.1117,0.0652,1,0,0.206,0.3638,0.2781,0.1068,0.0453,1,0,0.206,0.3638,0.2781,0.1068,0.0453,1
