,FACGEO,FTGROUP,AREATYPE,VOLUMEFROM,VOLUMETO,STATIONGROUP,FACGEOGROUP
125,AlpineLoop,Arterial,1,0,1000000,CO0,COFACGEO
126,AlpineLoop,Arterial,2,0,1000000,CO0,COFACGEO
127,AlpineLoop,Arterial,3,0,1000000,CO0,COFACGEO
128,AlpineLoop,Arterial,4,0,1000000,CO0,COFACGEO
129,AlpineLoop,Arterial,5,0,1000000,CO0,COFACGEO
130,AlpineLoop,Expressway,1,0,1000000,CO0,COFACGEO
131,AlpineLoop,Expressway,2,0,1000000,CO0,COFACGEO
132,AlpineLoop,Expressway,3,0,1000000,CO0,COFACGEO
133,AlpineLoop,Expressway,4,0,1000000,CO0,COFACGEO
134,AlpineLoop,Expressway,5,0,1000000,CO0,COFACGEO
135,BearLake,Arterial,1,0,1000000,CO1,COFACGEO
136,BearLake,Arterial,2,0,1000000,CO1,COFACGEO
137,BearLake,Arterial,3,0,1000000,CO1,COFACGEO
138,BearLake,Arterial,4,0,1000000,CO1,COFACGEO
139,BearLake,Arterial,5,0,1000000,CO1,COFACGEO
140,BearLake,Expressway,1,0,1000000,CO1,COFACGEO
141,BearLake,Expressway,2,0,1000000,CO1,COFACGEO
142,BearLake,Expressway,3,0,1000000,CO1,COFACGEO
143,BearLake,Expressway,4,0,1000000,CO1,COFACGEO
144,BearLake,Expressway,5,0,1000000,CO1,COFACGEO
145,BigCottonwood,Arterial,1,0,1000000,CO2,COFACGEO
146,BigCottonwood,Arterial,2,0,1000000,CO2,COFACGEO
147,BigCottonwood,Arterial,3,0,1000000,CO2,COFACGEO
148,BigCottonwood,Arterial,4,0,1000000,CO2,COFACGEO
149,BigCottonwood,Arterial,5,0,1000000,CO2,COFACGEO
150,BigCottonwood,Expressway,1,0,1000000,CO2,COFACGEO
151,BigCottonwood,Expressway,2,0,1000000,CO2,COFACGEO
152,BigCottonwood,Expressway,3,0,1000000,CO2,COFACGEO
153,BigCottonwood,Expressway,4,0,1000000,CO2,COFACGEO
154,BigCottonwood,Expressway,5,0,1000000,CO2,COFACGEO
155,CedarBreaks,Arterial,1,0,1000000,CO3,COFACGEO
156,CedarBreaks,Arterial,2,0,1000000,CO3,COFACGEO
157,CedarBreaks,Arterial,3,0,1000000,CO3,COFACGEO
158,CedarBreaks,Arterial,4,0,1000000,CO3,COFACGEO
159,CedarBreaks,Arterial,5,0,1000000,CO3,COFACGEO
160,CedarBreaks,Expressway,1,0,1000000,CO3,COFACGEO
161,CedarBreaks,Expressway,2,0,1000000,CO3,COFACGEO
162,CedarBreaks,Expressway,3,0,1000000,CO3,COFACGEO
163,CedarBreaks,Expressway,4,0,1000000,CO3,COFACGEO
164,CedarBreaks,Expressway,5,0,1000000,CO3,COFACGEO
195,I15,Freeway,1,0,1000000,CO4,COFACGEO
202,I15,Freeway,2,0,1000000,CO5,COFACGEO
205,I15,Freeway,3,0,1000000,CO6,COFACGEO
206,I15,Freeway,4,0,1000000,CO6,COFACGEO
207,I15,Freeway,5,0,1000000,CO6,COFACGEO
55,I15Plymouth,Freeway,1,0,1000000,CO7,COFACGEO
56,I15Plymouth,Freeway,2,0,1000000,CO7,COFACGEO
57,I15Plymouth,Freeway,3,0,1000000,CO7,COFACGEO
58,I15Plymouth,Freeway,4,0,1000000,CO7,COFACGEO
59,I15Plymouth,Freeway,5,0,1000000,CO7,COFACGEO
60,I215,Freeway,1,0,1000000,CO8,COFACGEO
61,I215,Freeway,2,0,1000000,CO8,COFACGEO
62,I215,Freeway,3,0,1000000,CO8,COFACGEO
63,I215,Freeway,4,0,1000000,CO8,COFACGEO
64,I215,Freeway,5,0,1000000,CO8,COFACGEO
65,I70,Freeway,1,0,1000000,CO9,COFACGEO
66,I70,Freeway,2,0,1000000,CO9,COFACGEO
67,I70,Freeway,3,0,1000000,CO9,COFACGEO
68,I70,Freeway,4,0,1000000,CO9,COFACGEO
69,I70,Freeway,5,0,1000000,CO9,COFACGEO
0,I80NevSR36,Freeway,1,0,1000000,COA,COFACGEO
1,I80NevSR36,Freeway,2,0,1000000,COA,COFACGEO
2,I80NevSR36,Freeway,3,0,1000000,COA,COFACGEO
3,I80NevSR36,Freeway,4,0,1000000,COA,COFACGEO
4,I80NevSR36,Freeway,5,0,1000000,COA,COFACGEO
10,I80SR154SR186,Freeway,1,0,1000000,COC,COFACGEO
11,I80SR154SR186,Freeway,2,0,1000000,COC,COFACGEO
12,I80SR154SR186,Freeway,3,0,1000000,COC,COFACGEO
13,I80SR154SR186,Freeway,4,0,1000000,COC,COFACGEO
14,I80SR154SR186,Freeway,5,0,1000000,COC,COFACGEO
15,I80SR186US40,Freeway,1,0,1000000,COD,COFACGEO
16,I80SR186US40,Freeway,2,0,1000000,COD,COFACGEO
17,I80SR186US40,Freeway,3,0,1000000,COD,COFACGEO
18,I80SR186US40,Freeway,4,0,1000000,COD,COFACGEO
19,I80SR186US40,Freeway,5,0,1000000,COD,COFACGEO
5,I80SR36SR154,Freeway,1,0,1000000,COB,COFACGEO
