ID,SEGIDTOREV,SEGIDFROM,PORTIONFROM,SEGIDTO,PORTIONTO
1,0015_225.3,0015_222.8,11,0015_261.8,1
2,0015_225.8,0015_222.8,11,0015_261.8,1
3,0015_228.1,0015_222.8,10,0015_261.8,2
4,0015_230.0,0015_222.8,10,0015_261.8,2
5,0015_233.0,0015_222.8,10,0015_261.8,2
6,0015_233.2,0015_222.8,9,0015_261.8,3
7,0015_241.6,0015_222.8,9,0015_261.8,3
8,0015_242.4,0015_222.8,8,0015_261.8,4
9,0015_244.8,0015_222.8,7,0015_261.8,5
10,0015_246.9,0015_222.8,7,0015_261.8,5
11,0015_248.8,0015_222.8,6,0015_261.8,6
12,0015_250.9,0015_222.8,5,0015_261.8,7
13,0015_251.6,0015_222.8,5,0015_261.8,7
14,0015_252.5,0015_222.8,5,0015_261.8,7
15,0015_253.6,0015_222.8,4,0015_261.8,8
16,0015_255.9,0015_222.8,4,0015_261.8,8
17,0015_257.3,0015_222.8,3,0015_261.8,9
18,0015_257.6,0015_222.8,2,0015_261.8,10
19,0015_258.8,0015_222.8,2,0015_261.8,10
20,0015_260.0,0015_222.8,1,0015_261.8,11
21,0015_349.4,0015_346.7,9,0084_040.8,1
22,0015_351.9,0015_346.7,8,0084_040.8,2
23,0015_357.6,0015_346.7,7,0084_040.8,3
24,0015_362.0,0015_346.7,6,0084_040.8,4
25,0015_363.7,0015_346.7,5,0084_040.8,5
26,0015_365.5,0015_346.7,4,0084_040.8,6
27,0015_368.1,0015_346.7,4,0084_040.8,6
28,0015_372.5,0015_346.7,4,0084_040.8,6
29,0015_372.7,0015_346.7,3,0084_040.8,7
30,0015_376.5,0015_346.7,2,0084_040.8,8
31,0015_379.4,0015_346.7,1,0084_040.8,9
32,0018_020.1,0018_017.3,4,0018_043.0,1
33,0018_026.8,0018_017.3,3,0018_043.0,2
34,0018_033.9,0018_017.3,2,0018_043.0,3
35,0018_040.3,0018_017.3,1,0018_043.0,4
36,0080_069.5,0080_056.2,5,0080_098.6,1
37,0080_076.4,0080_056.2,4,0080_098.6,2
38,0080_083.7,0080_056.2,3,0080_098.6,3
39,0080_087.9,0080_056.2,2,0080_098.6,4
40,0080_094.5,0080_056.2,1,0080_098.6,5
41,0080_099.5,0080_098.6,4,0080_117.7,1
42,0080_100.7,0080_098.6,4,0080_117.7,1
43,0080_101.2,0080_098.6,3,0080_117.7,2
44,0080_101.5,0080_098.6,3,0080_117.7,2
45,0080_104.3,0080_098.6,3,0080_117.7,2
46,0080_111.3,0080_098.6,3,0080_117.7,2
47,0080_112.5,0080_098.6,3,0080_117.7,2
48,0080_113.3,0080_098.6,2,0080_117.7,3
49,0080_114.3,0080_098.6,2,0080_117.7,3
50,0080_115.3,0080_098.6,1,0080_117.7,4
51,0080_124.1,0080_123.2,5,0080_128.7,1
52,0080_125.1,0080_123.2,4,0080_128.7,2
53,0080_126.8,0080_123.2,3,0080_128.7,3
54,0080_127.0,0080_123.2,2,0080_128.7,4
55,0080_127.8,0080_123.2,1,0080_128.7,5
56,0084_081.0,0084_087.8,1,0015_340.3,3
57,0084_081.7,0084_087.8,2,0015_340.3,2
58,0084_084.6,0084_087.8,3,0015_340.3,1
59,WFRC_8218,0080_128.7,1,0080_128.7,1
60,0006_177.9,0006_178.8,10,0006_173.4,1
61,0006_177.5,0006_178.8,9,0006_173.4,2
62,0006_177.2,0006_178.8,8,0006_173.4,3
63,0006_177.0,0006_178.8,7,0006_173.4,4
64,0006_176.1,0006_178.8,6,0006_173.4,5
65,0006_175.6,0006_178.8,5,0006_173.4,6
66,0006_174.9,0006_178.8,4,0006_173.4,7
67,0006_174.4,0006_178.8,3,0006_173.4,8
68,0006_174.0,0006_178.8,2,0006_173.4,9
69,0006_173.7,0006_178.8,1,0006_173.4,10
